Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;8.46;48;941.65;35;47;56
1;8.50;48;941.61;57;89;104
1;8.52;48;941.61;59;94;108
1;8.54;47;941.64;60;98;110
1;8.55;47;941.62;60;96;109
1;8.56;47;941.61;59;96;108
1;8.56;48;941.58;59;94;107
1;8.57;47;941.63;56;91;109
1;8.57;47;941.63;57;95;113
0;8.59;47;941.65;57;96;117
1;8.60;48;941.61;58;97;125
1;8.62;48;941.59;65;102;129
0;8.65;48;941.68;62;97;129
1;8.67;48;941.62;65;99;131
1;8.69;48;941.59;65;99;131
1;8.69;47;941.58;64;101;136
1;8.74;47;941.60;64;102;137
1;8.85;47;941.56;67;104;136
1;8.81;47;941.55;67;104;136
1;8.85;47;941.55;69;110;144
2;8.83;47;941.51;67;113;152
1;8.84;46;941.56;66;116;160
1;8.80;46;941.53;66;116;166
1;8.79;46;941.60;63;113;158
1;8.78;46;941.61;63;113;158
1;8.77;46;941.57;63;110;148
1;8.75;46;941.55;62;110;142
0;8.73;46;941.65;64;109;129
1;8.70;46;941.57;64;108;131
1;8.68;46;941.55;66;109;137
1;8.53;46;941.57;63;103;133
1;8.42;47;941.59;67;105;131
1;8.28;47;941.59;67;105;131
1;8.12;47;941.62;67;106;132
1;8.14;47;941.61;67;106;132
1;8.13;47;941.57;67;108;133
1;8.11;47;941.59;68;108;131
1;8.08;47;941.61;63;103;136
1;8.04;47;941.62;63;102;138
0;8.04;47;941.65;63;101;138
0;7.98;48;941.66;63;101;138
0;7.96;48;941.70;63;103;142
0;7.94;48;941.73;62;105;138
1;7.90;48;941.64;65;115;145
0;7.90;48;941.71;64;112;142
0;7.89;48;941.68;60;108;138
0;7.88;48;941.72;60;108;138
0;7.87;47;941.75;60;105;131
0;7.86;47;941.75;60;105;131
0;7.85;47;941.74;57;98;125
0;7.85;47;941.74;57;98;130
0;7.83;48;941.73;61;99;132
-1;7.83;48;941.76;62;99;136
0;7.82;48;941.75;65;104;144
0;7.81;48;941.74;65;104;144
-1;7.79;48;941.77;65;101;133
-1;7.78;48;941.77;65;101;133
0;7.76;48;941.73;64;104;133
0;7.75;48;941.72;63;100;127
-1;7.74;48;941.78;63;98;131
-1;7.71;48;941.78;63;98;131
-3;7.58;48;942.06;55;85;113
-1;7.56;48;941.87;54;82;109
-1;7.48;48;941.82;44;67;91
0;7.43;48;941.66;43;64;86
3;7.31;49;941.42;38;57;80
3;7.23;49;941.37;38;57;81
4;7.13;49;941.21;39;61;91
7;7.02;49;940.88;39;61;91
13;6.87;49;940.25;40;61;92
17;6.84;50;939.81;40;61;92
19;6.82;50;939.51;38;59;89
23;6.69;50;939.08;37;58;86
25;6.61;50;938.90;41;64;93
26;6.55;50;938.75;41;64;91
31;6.46;50;938.19;39;64;90
30;6.40;51;938.36;42;72;95
33;6.34;51;938.01;42;69;95
36;6.26;51;937.61;41;65;91
40;6.19;51;937.17;41;64;89
43;6.15;51;936.89;41;64;92
44;6.10;52;936.72;41;64;92
46;5.98;52;936.56;41;63;91
47;5.99;52;936.41;40;62;88
49;5.98;52;936.21;39;60;86
48;5.94;52;936.27;39;60;86
48;5.86;52;936.30;42;64;89
48;5.79;52;936.30;43;66;96
47;5.73;52;936.35;44;70;98
47;5.67;52;936.37;44;73;100
48;5.61;52;936.33;44;70;97
48;5.57;52;936.30;43;70;95
48;5.52;52;936.30;43;67;96
48;5.44;53;936.24;43;67;96
48;5.39;53;936.30;43;67;97
48;5.34;53;936.25;43;67;98
47;5.25;53;936.35;43;69;98
48;5.21;53;936.26;44;69;98
48;5.16;53;936.29;42;68;95
48;5.13;54;936.27;43;67;94
48;5.07;54;936.31;43;70;97
48;5.03;54;936.32;43;69;95
47;4.97;54;936.35;44;72;96
48;4.94;54;936.27;44;73;98
48;4.90;54;936.29;44;70;99
48;4.85;54;936.28;44;71;99
48;4.82;54;936.24;44;72;101
49;4.79;55;936.21;46;73;101
49;4.77;55;936.22;46;75;100
47;4.72;55;936.35;44;74;98
48;4.69;55;936.32;44;73;101
47;4.67;55;936.38;44;73;102
46;4.64;55;936.49;42;66;96
47;4.64;55;936.40;42;66;96
48;4.63;56;936.28;43;66;96
47;4.61;56;936.42;43;66;93
48;4.61;56;936.29;43;68;99
50;4.58;56;936.08;45;70;101
54;4.56;56;935.59;50;80;111
57;4.56;56;935.24;50;80;111
60;4.45;56;934.98;47;75;104
62;4.41;56;934.67;45;73;101
67;4.33;56;934.18;41;64;90
71;4.27;56;933.68;40;61;87
76;4.26;56;933.14;40;64;93
81;4.23;56;932.59;40;63;90
86;4.20;56;932.03;39;63;93
90;4.24;56;931.61;39;62;89
91;4.21;56;931.42;36;57;82
93;4.21;56;931.23;35;57;81
93;4.21;56;931.26;36;57;81
93;4.21;56;931.26;36;58;86
93;4.21;56;931.27;39;62;91
92;4.22;56;931.32;41;65;96
92;4.23;56;931.36;43;66;95
92;4.19;56;931.38;43;66;92
91;4.16;56;931.42;44;68;93
91;4.13;56;931.47;44;68;93
92;4.10;56;931.36;44;68;94
92;4.07;57;931.35;43;66;93
92;4.04;57;931.38;43;68;94
92;4.01;57;931.37;41;66;95
92;4.00;57;931.33;40;65;98
