Seconds;Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
5;0;14.38;23;930.63;28;36;41
8;0;14.44;23;930.63;28;38;43
10;0;14.48;23;930.64;31;42;51
12;0;14.53;23;930.64;32;43;52
15;0;14.56;24;930.65;31;43;52
17;0;14.58;24;930.62;34;46;61
19;0;14.61;24;930.64;35;47;58
21;0;14.64;24;930.65;35;47;58
24;0;14.66;24;930.70;35;47;58
27;0;14.67;24;930.64;33;44;56
29;0;14.70;24;930.61;33;44;56
32;0;14.71;24;930.62;31;42;53
34;1;14.72;24;930.60;31;41;53
37;1;14.73;24;930.60;28;39;50
39;0;14.74;24;930.61;28;39;50
42;0;14.76;24;930.62;25;36;45
44;0;14.77;24;930.61;25;36;45
47;0;14.76;24;930.62;25;34;44
49;1;14.77;23;930.58;25;34;44
52;1;14.79;23;930.59;23;36;47
54;0;14.80;23;930.61;23;37;47
56;0;14.82;24;930.64;24;37;48
58;0;14.84;25;930.61;24;37;49
61;0;14.84;26;930.63;23;34;46
63;0;14.85;26;930.65;23;34;46
66;0;14.83;25;930.62;23;34;47
68;0;14.84;25;930.61;23;34;47
70;0;14.84;24;930.61;25;36;49
73;0;14.85;24;930.63;26;38;50
75;0;14.87;24;930.66;28;41;51
77;0;14.89;23;930.67;28;42;53
79;0;14.91;23;930.64;29;42;51
82;0;14.95;23;930.66;29;42;51
84;0;14.99;23;930.65;30;43;53
86;0;15.02;23;930.64;31;44;53
88;0;15.05;23;930.64;30;43;52
91;0;15.08;23;930.61;30;44;53
93;0;15.11;23;930.61;29;40;51
95;0;15.13;23;930.62;29;40;51
98;0;15.17;23;930.62;28;39;49
100;0;15.18;23;930.63;28;39;49
103;0;15.20;23;930.65;27;36;45
106;0;15.21;23;930.62;27;36;45
108;0;15.21;23;930.66;26;35;41
110;0;15.23;23;930.67;24;35;42
112;0;15.24;23;930.63;23;33;39
115;0;15.25;23;930.63;23;34;39
117;0;15.27;23;930.60;22;32;37
119;1;15.28;23;930.58;22;32;37
122;3;15.24;22;930.30;23;33;42
124;4;15.17;22;930.23;23;33;42
127;3;15.13;22;930.32;23;32;41
129;3;15.22;22;930.33;23;32;41
132;4;15.23;22;930.26;26;36;48
134;4;15.18;22;930.26;28;41;53
136;3;15.16;22;930.35;31;46;59
138;3;15.20;22;930.31;31;46;60
141;3;15.18;21;930.30;31;46;60
143;4;15.24;21;930.26;31;46;60
146;4;15.37;21;930.25;28;42;55
148;3;15.41;21;930.31;27;42;53
151;3;15.42;21;930.31;28;44;55
153;5;15.49;21;930.14;29;44;55
155;5;15.56;22;930.15;33;48;62
157;7;15.55;21;929.88;34;49;65
159;10;15.65;21;929.58;34;47;64
162;13;15.70;21;929.21;34;47;64
165;19;15.78;20;928.49;32;45;62
167;25;15.82;20;927.86;32;45;62
170;32;15.90;20;927.12;30;42;57
172;37;15.96;20;926.53;28;40;53
174;44;16.00;19;925.75;20;30;36
177;50;16.03;19;925.07;18;30;35
179;58;16.06;19;924.22;18;29;32
181;63;16.14;19;923.72;19;29;33
183;70;16.24;19;922.88;22;33;37
186;77;16.27;18;922.09;22;32;36
189;88;16.34;18;920.79;19;28;34
191;96;16.41;18;919.92;19;28;34
193;96;16.49;18;919.90;18;28;33
195;95;16.57;18;920.02;16;24;29
197;95;16.62;18;920.03;16;24;29
200;95;16.71;18;920.01;14;21;24
202;95;16.79;18;920.07;14;21;24
205;94;16.88;18;920.13;13;21;25
207;94;16.94;18;920.12;13;21;25
210;95;17.04;18;920.01;13;19;23
212;95;17.07;18;920.06;13;19;23
215;96;17.18;18;919.93;15;22;26
218;96;17.25;18;919.96;15;23;27
220;96;17.30;18;919.95;18;28;31
222;97;17.37;17;919.82;19;30;32
224;97;17.33;17;919.82;19;30;34
227;98;17.35;17;919.73;19;30;34
230;98;17.31;17;919.72;20;32;38
232;98;17.37;17;919.74;20;31;37
235;97;17.36;17;919.84;20;31;36
237;95;17.46;17;920.06;20;30;35
240;95;17.49;17;920.04;19;28;33
242;94;17.57;17;920.13;19;27;33
245;96;17.61;17;919.92;18;26;32
247;97;17.63;17;919.88;18;25;31
250;94;17.63;17;920.13;19;25;32
